Filename,Extracted_text
image1.jpeg,cases of complexity
image2.jpeg,count of each instruction  of an algorithm will never exceed .
image3.jpeg,* Computational time of an algorithms will never exceed .
image4.jpeg,worst case time : #
image5.jpeg,*Computational time for an algorithm will be never be
image6.jpeg,less than best case time .
image7.jpeg,Avrage case : It is neither best noe worst It takes .
image8.jpeg,because a ribbon timber frequency found of each
image9.jpeg,avrage execution time for frequency count of each
image10.jpeg,"The f(n) -> It gives the running time of the algorithms ,
image11.jpeg,depends not only the size n of the input data buttonson
image12.jpeg,The particular data .
image13.jpeg,The complexity function f ( n ) for certain case r
image14.jpeg,Best Case : The minimum or least possible time required
image15.jpeg,for frequency out of each evolution of an algorithm .
image16.jpeg,for imnlementation .
image17.jpeg,Worst Case: The maximum time required for frequency
image18.jpeg,Exact time is not important . we care about the
image19.jpeg,There are five asymptotic notation .
image20.jpeg,Big-OH(O)-> It is generally used to represent the
image21.jpeg,Big-OMEGA(Ω)-
image22.jpeg,growth of an algorithm
image23.jpeg,Big-O-notation
image24.jpeg,Big_o = highest power of n.
image25.jpeg,Condition and define maximum upper bond .
image26.jpeg,growth rate the not exact value .
image27.jpeg,Asymoptic notation ingooes constants and lower-order .
image28.jpeg,teoms and features as the dominant tom .
image29.jpeg,Dominant -> It is part of complexity function that
image30.jpeg,grows the fastest as input size n becomes theory large
image31.jpeg,# It is way to describe the characterists of a function in the
image32.jpeg,# ->It is describe the rate of growth of function .
image33.jpeg,- It is a way to compare size of functions .
image34.jpeg,when the value of f(n) is fixed or conslet llen .
image35.jpeg,__ space complexity :
image36.jpeg,When Optimizing algorithm when a programer
image37.jpeg,a make a trade of between time and space
image38.jpeg,Optimisation .
image39.jpeg,the programmer can reduce its time complexity .
image40.jpeg,It may be more efficient or require more memory .
image41.jpeg,space otimization
image42.jpeg,programmer can -optimize an algorithm .
image43.jpeg,to reduce it's Space Complexity .
image44.jpeg,This can be done by using comput .
image45.jpeg,"its , time , complexity is represented as a ring . '"
image46.jpeg,"data structure almimizing - asusually"
image47.jpeg,however it may inerer the cost and time due
image48.jpeg,to additional conplalor or stack data acert .
image49.jpeg,There are the fundamental concepts of algorithm .
image50.jpeg,analysis and design :
image51.jpeg,They reffer to the idea that the programme
image52.jpeg,can often optimues an algorithm to
image53.jpeg,improve it performance through time complexity
image54.jpeg,It is a classical optimization problem .
image55.jpeg,Let n be the no. of objects each objects is they,
image56.jpeg,a weight weight and contribution to pojet .
image57.jpeg,Let m be the Knapsack Capacity .
image58.jpeg,The objective is to feel the knapsack in such
image59.jpeg,a away that the profit should be minimized
image60.jpeg,It is also allowed . That a fraction of
image61.jpeg,item to be added to the knapsack . I
image62.jpeg,At each step we include the object which
image63.jpeg,Matimacally it is written as maximum .
image64.jpeg,It is the problem of finding the most ualvejable combination
image65.jpeg,of  items to include in a knapsack ( container )
image66.jpeg,with a limited Weight capacity ."
image67.jpeg,"Gimin a setditcn, each with a weight and profit"
image68.jpeg,profit value determines the combination of items """
image69.jpeg,to include in the Knapsack so capacity as the
image70.jpeg,knapack and the total value of the Knapsacale
image71.jpeg,and the scale of the item should be maximized .
image72.jpeg,Introduction to python
image73.jpeg,Simple and easy to learn
image74.jpeg,Platform Indepedent
image75.jpeg,Free and open source .
image76.jpeg,Rich Library support
image77.jpeg,Portable
image78.jpeg,Embbedable and Extensible
image79.jpeg,use of python
image80.jpeg,Web framework and application .
image81.jpeg,gui based desktop application
image82.jpeg,graphicalal design :
image83.jpeg,Image Processing application
image84.jpeg,Ai/ Neural Network
image85.jpeg,I IOT and Dark Science
image86.jpeg,I Name Applications .
image87.jpeg,( It was appointed to examining language which was developed .
image88.jpeg,by which's than base of
image89.jpeg,of was reviewed in the year 1991 at CWIClenatum .
image90.jpeg,wiskunde & Information of Netherlands (
image91.jpeg,"It is a general purpose , high level programming language"
image92.jpeg,"It is also called dynamic programming language . """
image93.jpeg,teamtime #
image94.jpeg,Official date of birth in both February 1829 )
image95.jpeg,It is a procedure oriented ( D system in OOD .
image96.jpeg,programming language (
image97.jpeg,# Hopes not contain ( by those containers .
image98.jpeg,"the features of class , object to"
image99.jpeg,In ( Auto type - ) In psychonck is not
image100.jpeg,declaration in compulsory compulsory .
image101.jpeg,# a third party history
image102.jpeg,# I used for creditforward
image103.jpeg,to # # # # # # # # # # #
image104.jpeg,"Currently , we died the version of my plan is"
image105.jpeg,Compassion the land uniform
image106.jpeg,a b c. before oriented programmes
image107.jpeg,"USPICT , when in DOPTON"
image108.jpeg,"( grows leaf laser , Python is high-level"
image109.jpeg,Ginsarist debut type order by themselves not
image110.jpeg,Developed by Dennis Ruchof Dencloped by Russian
image111.jpeg,""" Bell task in 1972 . I owns in 1999 ."
image112.jpeg,The data type which cannot be changed after
image113.jpeg,"I These makes are defined as pylton but , pathom front"
image114.jpeg,and Python complex classes in psychosprapamping
image115.jpeg,faterer ! - It is represented my 1st class p.f copley .
image116.jpeg,position or negative-whole numbers without frostability .
image117.jpeg,Veradeespue . In a question there is not to
image118.jpeg,Example # a-ltd )
image119.jpeg,Example # brief
image120.jpeg,American States
image121.jpeg,Whines may be deleted
image122.jpeg,# It won't readable
image123.jpeg,Nowables can hold values of different chatalty peer #
image124.jpeg,Numerous State type
image125.jpeg,# Son python it represents the data funny a numerous
image126.jpeg,"A numeric value can be an integer , affecting number"
image127.jpeg,Lorenen are even a complete gunbery :
image128.jpeg,complex #
image129.jpeg,In Python there is no character data types .
image130.jpeg,not are put like screws declined into them .
image131.jpeg,Languages which in an ordered collection .
image132.jpeg,need the of the same type .
image133.jpeg,A complex number is represented by a complex .
image134.jpeg,It is specified as a combinationousful .
image135.jpeg,part and Imaginary first U.
image136.jpeg,different fashion date trips
image137.jpeg,It allows strong of multiple scales on
image138.jpeg,can concerned and effort fashion .
image139.jpeg,is A String is a collection of one or more charley .
image140.jpeg,"but in a single quote , double gust of"
image141.jpeg,the Requires inside the sequence bracket
image142.jpeg,"# is the position , Judge with one of two ."
image143.jpeg,"fruit in history . One or false ,"
image144.jpeg,Bachelor objects that are colour to face are
image145.jpeg,Trubby and those equal to false far fairly
image146.jpeg,"s it is "" donated by the church photoof : ' I"
image147.jpeg,basoleans . Otherwise python will throw on
image148.jpeg,"Set that Type # """
image149.jpeg,s in authorised in a unordered collection .
image150.jpeg,"atatatatives which is possible , mutable and"
image151.jpeg,The multiple elements'
image152.jpeg,"Example traffic (2,3 )"
image153.jpeg,It is input like a list :
image154.jpeg,SA I'm quick via ISO an ordered collection of
image155.jpeg,When Orwell's
image156.jpeg,"It is represented by a triple . Clay , ..."
image157.jpeg,The creation of a Python style without the use of
image158.jpeg,puriathesis of known as the passing
image159.jpeg,"workers ,"
image160.jpeg,I sat can be created by using built in get .
image161.jpeg,It is used for creating number after
image162.jpeg,Lonchonwy .
image163.jpeg,to make it more organized .
image164.jpeg,gispurfed by command )
image165.jpeg,It created by the built in Austin .
image166.jpeg,"district just , placing in # early time ,"
image167.jpeg,the Python 1 votes prefer an cause
image168.jpeg,""" Here the most vicos ! then I'm some code"
image169.jpeg,and erupted by the Python interncrafts .
image170.jpeg,The set of low level instruction as Operantes and Arcade
image171.jpeg,A. Direct Made # since Wokinghampton
image172.jpeg,# . Andirect Node V.
image173.jpeg,# 6-Implied . Made it misses a so using them
image174.jpeg,# THE State implental model samples within him .
image175.jpeg,# Auto decremental made an illusion .
image176.jpeg,# Indexed Addressing modelwater and
image177.jpeg,An addressing mode as no relation to the Apache . It
image178.jpeg,""" basically ( focuses on presenting the address of the"
image179.jpeg,types of addressing : # without two minutes
image180.jpeg,There are basically 5 types of addressing made .
image181.jpeg,mediate Made V.
image182.jpeg,L. Register Made v. 7 via it ?1811-
image183.jpeg,3 . Resistance indirect mode
image184.jpeg,Type #
image185.jpeg,It is used to assign when to a words .
image186.jpeg,"Land-front Stukrit ,"
image187.jpeg,Looping Statement #
image188.jpeg,# If it is used to repent something only and
image189.jpeg,over until a particular condition transferred
image190.jpeg,CENSION
image191.jpeg,Simple Stukement . '
image192.jpeg,I'll show the single statement
image193.jpeg,Longport Statement
image194.jpeg,"If shows , multiple statements in a block like"
image195.jpeg,function loop etc.
image196.jpeg,Print Stukrin'er
image197.jpeg,wight in Med to point alone
image198.jpeg,Assignment Stahnett #
image199.jpeg,Comparation about the expression and statement
image200.jpeg,How to find the hundreds :
image201.jpeg,I Stepli import . Keywood by
image202.jpeg,"A slender point , Cheigsord pantlest ) ,"
image203.jpeg,I Step's : that then Hayward the list ) I am
image204.jpeg,"Illyword from global , and"
image205.jpeg,I yield tumba )
image206.jpeg,I bywood in psychoactivity
image207.jpeg,I keyword are input like required word-them .
image208.jpeg,I some special memory and functionality . In
image209.jpeg,I U. It is a gayered word whose newly
image210.jpeg,I already stood in further interpretation .
image211.jpeg,I'm We cannot be a keyboard as a variable
image212.jpeg,large function with indenterism .
image213.jpeg,I U.36 the church are used in 3.9-Southern
image214.jpeg,pathon Opersars :
image215.jpeg,# Chester .
image216.jpeg,Indentity . Dipressor
image217.jpeg,W. - when true if both variable are the same
image218.jpeg,I give below free of a spring with the ejected
image219.jpeg,I've in fresh in the object
image220.jpeg,19th in the symbol which is used to perform
image221.jpeg,especially on voyafter and when
image222.jpeg,is first from the Operation
image223.jpeg,Rousing in most Operator .
image224.jpeg,is Compassion operator :
image225.jpeg,in technical opinion #
image226.jpeg,If Industry Opinion ) - Special Operates
image227.jpeg,1 Munkery of the
image228.jpeg,It is the inclusion of short description along with the
image229.jpeg,"comm ( Multiple community ) """
image230.jpeg,code to increase its readability schema developed on coden .
image231.jpeg,"write a program , then he are she use the comments"
image232.jpeg,to write his ( her brought process inside
image233.jpeg,The Same code
image234.jpeg,It is the simply transfer of the programmer church .
image235.jpeg,promides quality of the cable ; and which are
image236.jpeg,programmer work code in two ways
image237.jpeg,"u"" I'm at the beagging and the end of the portion ."
image238.jpeg,exactly show many time are want to
image239.jpeg,# The loop to break the loop explained
image240.jpeg,own some condition ( continue statement any
image241.jpeg,# Continue as This statements are used to
image242.jpeg,# Skip the current Senator is continue to not
image243.jpeg,great shop
image244.jpeg,While's 9t is used to repeatedly create a hook of code .
image245.jpeg,long as long ascertain condition are truly
image246.jpeg,# Our loop scheme don't know how may
image247.jpeg,Time we need to execute the loop #
image248.jpeg,Pounster Statement
image249.jpeg,is of alters the way the logic gate executed
image250.jpeg,"Back # The break statement we used inside ,"
image251.jpeg,With 4 characteristics of 1st.
image252.jpeg,"""I Want Messen ! """
image253.jpeg,( Joint message (000 # I.
image254.jpeg,""" What must resume too in : YT."
image255.jpeg,"(91. BUNY ,"
image256.jpeg,List # and cloning
image257.jpeg,Copy of list can be done in 2 copys that is a living
image258.jpeg,"XF 10,20,40,40 )"
image259.jpeg,by # I have shifts in not copued rather at her
image260.jpeg,another rare within a house .
image261.jpeg,Transursing off list can be done show many ways are
image262.jpeg,the examples of each-
image263.jpeg,Wach a string message in string the flag format .
